"Titolo","Autore","Pagine","Editore","Prezzo"
"L'ombra del vento","Carlos Ruiz Zafón","567","Mondadori","15.99"
"Il nome della rosa","Umberto Eco","512","Bompiani","12.50"
"1984","George Orwell","328","Feltrinelli","10.90"
"Il piccolo principe","Antoine de Saint-Exupéry","96","Bompiani","8.99"
"Orgoglio e pregiudizio","Jane Austen","352","Einaudi","11.99"
"Harry Potter e la pietra filosofale","J.K. Rowling","309","Salani","14.50"
"Il grande Gatsby","F. Scott Fitzgerald","180","Mondadori","9.99"
"Il ritratto di Dorian Gray","Oscar Wilde","256","Newton Compton","6.90"
"Il signore degli anelli","J.R.R. Tolkien","1248","Bompiani","35.00"
"La casa degli spiriti","Isabel Allende","448","Feltrinelli","13.99"
"Cent'anni di solitudine","Gabriel Garcia Marquez","432","Mondadori","14.00"
"La solitudine dei numeri primi","Paolo Giordano","304","Mondadori","10.50"
"Anna Karenina","Lev Tolstoj","864","Einaudi","16.99"
"Il cacciatore di aquiloni","Khaled Hosseini","391","Piemme","13.49"
"Don Chisciotte della Mancia","Miguel de Cervantes","928","Einaudi","19.90"
"La fattoria degli animali","George Orwell","141","Mondadori","8.49"
"Dracula","Bram Stoker","488","Newton Compton","7.90"
"Viaggio al centro della Terra","Jules Verne","284","Feltrinelli","9.99"
"Moby Dick","Herman Melville","720","Einaudi","15.50"
"I promessi sposi","Alessandro Manzoni","712","Mondadori","12.99"
